payment_id,expected_settlement_id,expected_status,scenario_type,expected_net,notes
PAY_5001,SET_9001,MATCH,EXACT,7304.00,Clean 1:1 match
PAY_5002,SET_9002,MATCH,DELAY,20757.00,Settlement delay T+3 days (valid by policy)
PAY_5003,SET_9003,MATCH,EXACT,12657.00,Clean 1:1 match
PAY_5004,SET_9004,MATCH,EXACT,34273.00,Clean 1:1 match
PAY_5005,SET_9005,MATCH,EXACT,4785.00,Clean 1:1 match
PAY_5006,SET_9006,MATCH,EXACT,8367.00,Clean 1:1 match
PAY_5007,SET_9007,MATCH,FEE,26478.65,Net matched with fee 485.35 (1.800%)
PAY_5008,SET_9008,MATCH,FORMATTING,19576.00,Matched via format normalization (slash)
PAY_5009,SET_9009,MATCH,EXACT,43776.00,Clean 1:1 match
PAY_5010,SET_9010,MATCH,FEE,36821.07,Net matched with fee 674.93 (1.800%)
PAY_5011,SET_9011,AMBIGUOUS_REVIEW,PARTIAL,180.80,Partial settlement (80.0% of gross)
PAY_5012,SET_9012,AMBIGUOUS_REVIEW,PARTIAL,34388.10,Partial settlement (90.0% of gross)
PAY_5013,SET_9013,MATCH,EXACT,29177.00,Clean 1:1 match
PAY_5014,SET_9014,MATCH,FORMATTING,11320.00,Matched via format normalization (lower)
PAY_5015,SET_9015,AMBIGUOUS_REVIEW,ADVERSARIAL,43706.00,Conflicting duplicate candidate requires investigation / human review
PAY_5016,SET_9017,MATCH,EXACT,49426.00,Clean 1:1 match
PAY_5017,SET_9018,MATCH,DELAY,9856.00,Settlement delay T+2 days (valid by policy)
PAY_5018,SET_9019,MATCH,EXACT,40260.00,Clean 1:1 match
PAY_5019,SET_9020,MATCH,FORMATTING,41472.00,Matched via format normalization (spaces)
PAY_5020,SET_9021,MATCH,FORMATTING,26391.00,Matched via format normalization (dash)
PAY_5021,SET_9022,AMBIGUOUS_REVIEW,PARTIAL,5748.00,Partial settlement (80.0% of gross)
PAY_5022,SET_9023,MATCH,FEE,44982.47,Net matched with fee 824.53 (1.800%)
PAY_5023,SET_9024,MATCH,FEE,36068.86,Net matched with fee 661.14 (1.800%)
PAY_5024,SET_9025,MATCH,DELAY,8938.00,Settlement delay T+3 days (valid by policy)
PAY_5025,SET_9026,MATCH,EXACT,29204.00,Clean 1:1 match
PAY_5026,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5027,SET_9027,MATCH,FORMATTING,17186.00,Matched via format normalization (lower)
PAY_5028,SET_9028,MATCH,FORMATTING,34363.00,Matched via format normalization (lower)
PAY_5029,SET_9029,MATCH,FORMATTING,5277.00,Matched via format normalization (slash)
PAY_5030,SET_9030,MATCH,FORMATTING,22210.00,Matched via format normalization (slash)
PAY_5031,SET_9031,MATCH,EXACT,15355.00,Clean 1:1 match
PAY_5032,SET_9032,MATCH,EXACT,27388.00,Clean 1:1 match
PAY_5033,SET_9033,MATCH,FORMATTING,4280.00,Matched via format normalization (spaces)
PAY_5034,SET_9034,MATCH,EXACT,38478.00,Clean 1:1 match
PAY_5035,SET_9035,MATCH,FEE,577.21,Net matched with fee 8.79 (1.500%)
PAY_5036,SET_9036,MATCH,EXACT,49579.00,Clean 1:1 match
PAY_5037,SET_9037,AMBIGUOUS_REVIEW,PARTIAL,13122.00,Partial settlement (90.0% of gross)
PAY_5038,SET_9038,MATCH,EXACT,25684.00,Clean 1:1 match
PAY_5039,SET_9039,MATCH,FORMATTING,8564.00,Matched via format normalization (spaces)
PAY_5040,SET_9040,MATCH,EXACT,37187.00,Clean 1:1 match
PAY_5041,SET_9041,MATCH,DELAY,28289.00,Settlement delay T+2 days (valid by policy)
PAY_5042,SET_9042,MATCH,FORMATTING,17249.00,Matched via format normalization (slash)
PAY_5043,SET_9043,MATCH,EXACT,21620.00,Clean 1:1 match
PAY_5044,SET_9044,MATCH,EXACT,27827.00,Clean 1:1 match
PAY_5045,SET_9045,MATCH,DELAY,49288.00,Settlement delay T+3 days (valid by policy)
PAY_5046,SET_9046,MATCH,EXACT,42807.00,Clean 1:1 match
PAY_5047,SET_9047,MATCH,EXACT,13265.00,Clean 1:1 match
PAY_5048,SET_9048,MATCH,FEE,8319.50,Net matched with fee 152.50 (1.800%)
PAY_5049,SET_9049,MATCH,EXACT,14484.00,Clean 1:1 match
PAY_5050,SET_9050,MATCH,EXACT,39907.00,Clean 1:1 match
PAY_5051,SET_9051,MATCH,EXACT,7284.00,Clean 1:1 match
PAY_5052,SET_9052,MATCH,EXACT,44590.00,Clean 1:1 match
PAY_5053,SET_9053,AMBIGUOUS_REVIEW,PARTIAL,9237.90,Partial settlement (70.0% of gross)
PAY_5054,SET_9054,MATCH,FEE,19604.65,Net matched with fee 359.35 (1.800%)
PAY_5055,SET_9055,MATCH,EXACT,2891.00,Clean 1:1 match
PAY_5056,SET_9056,MATCH,EXACT,33358.00,Clean 1:1 match
PAY_5057,SET_9057,MATCH,FEE,31743.15,Net matched with fee 581.85 (1.800%)
PAY_5058,SET_9058,MATCH,EXACT,41853.00,Clean 1:1 match
PAY_5059,SET_9059,MATCH,EXACT,11743.00,Clean 1:1 match
PAY_5060,SET_9060,MATCH,DELAY,28745.00,Settlement delay T+3 days (valid by policy)
PAY_5061,SET_9061,MATCH,EXACT,5879.00,Clean 1:1 match
PAY_5062,SET_9062,MATCH,DELAY,30655.00,Settlement delay T+3 days (valid by policy)
PAY_5063,SET_9063,MATCH,EXACT,32594.00,Clean 1:1 match
PAY_5064,SET_9064,MATCH,EXACT,14101.00,Clean 1:1 match
PAY_5065,SET_9065,MATCH,EXACT,39269.00,Clean 1:1 match
PAY_5066,SET_9066,MATCH,EXACT,12721.00,Clean 1:1 match
PAY_5067,SET_9067,MATCH,FEE,35852.32,Net matched with fee 731.68 (2.00%)
PAY_5068,SET_9068,MATCH,EXACT,31401.00,Clean 1:1 match
PAY_5069,SET_9069,MATCH,DELAY,6172.04,Settlement delay T+3 days (valid by policy)
PAY_5070,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5071,SET_9070,MATCH,EXACT,36472.00,Clean 1:1 match
PAY_5072,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5073,SET_9071,MATCH,FEE,29486.96,Net matched with fee 449.04 (1.500%)
